..
g f
i u
c c
a a
l l
_ _
s w
u u
f f
f t
e e
r r
i k
n n
g g
_ _
a a
n n
d c
_ _
i i
t t
_ _
m m
a a
y y
_ _
l k
e e
a a
d d
_ _
t f
o l
_ _
i u
n n
c c
r r
e e
a q
s x
e e
d d
_ _
p p
h g
y u
s s
i i
c c
a z
l l
_ _
s s
u u
f c
f f
e r
r e
i i
n n
g h
_ _
e e
v v
e e
n n
_ _
i i
n n
_ _
a a
d c
v g
a a
n j
c v
e e
d d
_ _
c c
o o
u u
n n
t t
r r
i i
e e
s s
_ _
t t
h h
e e
_ _
i i
n n
d d
u h
s s
t t
r e
i i
a a
l l
_ _
t t
e e
c d
h h
n n
o o
l l
o o
g g
i i
c c
a a
l k
_ _
s s
y y
s s
t t
e e
m m
_ _
m m
a a
y y
_ _
s s
u u
r r
v v
i i
v v
e r
_ _
o o
r r
_ _
i u
t t
_ _
m n
a a
y y
_ _
b b
r r
e e
a z
k k
_ _
d d
o o
w w
n n
_ _
i u
f f
_ _
i i
t t
_ _
s s
u u
r r
v v
i i
v v
e e
s s
_ _
i i
t t
_ _
m n
a a
y y
_ _
e e
v v
e e
n n
t y
u u
a a
l k
l l
y y
_ _
a a
c c
h h
i i
e e
v v
e e
_ _
a a
_ _
l l
o o
w s
_ _
l l
e w
v v
e e
l l
_ _
o o
f f
_ _
p p
h h
y y
s x
i k
c c
a a
l l
_ _
a a
n n
d d
_ _
p p
s s
y y
c c
h y
o o
l l
o i
g g
i i
c c
a a
l l
_ _
s s
u u
f f
f v
e e
r r
i i
n b
g g
_ _
b b
u u
t t
_ _
o o
n n
l l
y y
_ _
a a
f f
t t
e e
r r
_ _
p p
a a
s s
s s
i i
n n
g g
_ _
t t
h h
r e
o o
u u
g g
h h
_ _
a a
_ _
l l
o o
n n
g g
_ _
a a
n m
d d
_ _
v v
e e
r r
y y
_ _
p p
a a
i i
n n
f f
u u
l l
_ _
p p
e e
r r
i i
o o
d x
_ _
o o
f d
_ _
a a
d d
j j
u u
s w
t t
m m
e e
n b
t t
_ _
a a
n n
d d
_ _
o o
n n
l l
y y
_ _
a a
t t
_ _
t t
h h
e e
_ _
c f
o o
s s
t t
_ _
o k
f f
_ _
p p
e e
r r
m m
a s
n n
e e
n n
t t
l l
y y
_ _
r r
e e
d d
u u
c c
i i
n n
g g
_ _
h h
u y
m m
a a
n j
_ _
b v
e e
i i
n n
g g
s s
_ _
a a
n b
d s
_ _
m n
a s
n j
y y
_ _
o o
t t
h g
e w
r r
_ _
l k
i u
v v
i i
n n
g g
_ _
o o
r r
g b
a a
n n
i i
s s
m m
s s
_ _
t t
o o
_ _
e e
n n
g v
i i
n n
e e
e e
r r
e e
d d
_ _
p l
r e
o o
d d
u u
c x
t f
s s
_ _
a a
n m
d d
_ _
m m
e e
r r
e e
_ _
c c
o l
g g
s s
_ _
i i
n n
_ _
t t
h h
e r
_ _
s s
o o
c x
i i
a a
l p
_ _
m m
a a
c x
h h
i j
n n
e e
_ _
f g
u u
r r
t t
h h
e e
r r
m m
o o
r r
e e
_ _
i i
f f
_ _
t t
h j
e e
_ _
s s
y y
s s
t t
e e
m n
_ _
s s
u u
r r
v v
i i
v v
e e
s a
_ _
t t
h h
e e
_ _
c c
o o
n n
s s
e d
q q
u u
e e
n h
c c
e r
s s
_ _
w w
i i
l l
l l
_ _
b b
e e
_ _
i j
n n
e e
v g
i j
t t
a a
b b
l l
e e
_ _
t t
h g
e e
r r
e e
_ _
i i
s s
_ _
n n
o o
_ _
w w
a a
y y
_ _
o o
f f
_ _
r t
e r
f f
o o
r r
m m
i i
n n
g g
_ _
o o
r r
_ _
m k
o o
d d
i i
f f
y t
i i
n b
g g
_ _
t t
h h
e e
_ _
s s
y h
s s
t t
e e
m m
_ _
s s
o o
_ _
a a
s x
_ _
t t
o o
_ _
p o
r d
e r
v v
e w
n n
t t
_ _
i i
t f
_ _
f f
r r
o o
m m
_ _
d d
e e
p p
r t
i i
v v
i i
n n
g g
_ _
p p
e w
o o
p p
l l
e d
_ _
o o
f c
_ _
d d
i i
g g
n n
i i
t t
y y
_ _
a a
n m
d d
_ _
a a
u u
t r
o o
n n
o o
m n
y y
_ _
i i
f f
_ _
t t
h b
e e
_ _
s s
y y
s s
t g
e e
m m
_ _
b b
r r
e e
a a
k k
s s
_ _
d e
o o
w w
n j
_ _
t t
h g
e e
_ _
c c
o o
n n
s s
e e
q q
u u
e e
n n
c c
e e
s a
_ _
w w
i i
l l
l l
_ _
s s
t t
i u
l l
l l
_ _
b b
e e
_ _
v v
e e
r r
y y
_ _
p p
a a
i i
n n
f t
u u
l l
_ _
b b
u u
t t
_ _
t t
h h
e e
_ _
b b
i i
g g
g f
e e
r r
_ _
t t
h h
e e
_ _
s s
y y
s s
t t
e e
m m
_ _
g b
r r
o o
w w
s s
_ _
t t
h h
e e
_ _
m m
o o
r r
e e
_ _
d d
i i
s s
a a
s s
t t
r e
o o
u u
s s
_ _
t y
h h
e e
_ _
r r
e e
s s
u u
l l
t t
s d
_ _
o o
f f
_ _
i i
t t
s s
_ _
b b
r r
e e
a a
k k
d d
o l
w e
n b
_ _
w w
i i
l l
l l
_ _
b b
e e
_ _
s s
o o
_ _
i i
f f
_ _
i i
t f
_ _
i o
s s
_ _
t t
o o
_ _
b b
r e
e e
a a
k k
_ _
d d
o o
w w
n h
_ _
i i
t t
_ _
h h
a s
d d
_ _
b b
e w
s s
t t
_ _
b b
r e
e e
a a
k k
_ _
d d
o o
w w
n b
_ _
s s
o i
o p
n n
e e
r r
_ _
r r
a a
t r
h y
e e
r r
_ _
t t
h g
a a
n n
_ _
l l
a a
t y
e e
r r
_ _
w w
e e
_ _
t t
h h
e e
r r
e e
f f
o o
r r
e e
_ _
a a
d d
v g
o o
c c
a a
t t
e e
_ _
a a
_ _
r r
e e
v g
o o
l o
u u
t t
i i
o o
n n
_ _
a a
g g
a a
i o
n n
s a
t t
_ _
t t
h h
e e
_ _
i j
n n
d d
u j
s s
t r
r r
i i
a a
l l
_ _
s a
y y
s s
t t
e e
m m
_ _
t t
h h
i i
s s
_ _
r r
e e
v v
o o
l l
u j
t r
i k
o o
n n
_ _
m n
a a
y y
_ _
o o
r r
_ _
m m
a a
y y
_ _
n n
o o
t g
_ _
m m
a a
k m
e r
_ _
u u
s s
e e
_ _
o o
f f
_ _
v v
i i
o o
l l
e e
n n
c c
e e
_ _
i i
t r
_ _
m m
a a
y y
_ _
b b
e r
_ _
s s
u u
d d
d d
e e
n n
_ _
o o
r d
_ _
i u
t t
_ _
m j
a z
y y
_ _
b b
e e
_ _
a s
_ _
r r
e e
l k
a q
t t
i i
v v
e e
l l
y y
_ _
g g
r r
a a
d d
u u
a a
l l
_ _
p p
r r
o o
c c
e w
s s
s s
_ _
s d
p l
a a
n n
n h
i i
n h
g g
_ _
a s
_ _
f f
e e
w w
_ _
d d
e e
c c
a a
d d
e e
s s
_ _
w w
e r
_ _
c c
a a
n n
_ _
t t
_ _
p p
r r
e e
d d
i i
c c
t t
_ _
a z
n n
y y
_ _
o o
f f
_ _
t t
h h
a a
t t
_ _
b b
u u
t t
_ _
w w
e d
_ _
d e
o o
_ _
o o
u u
t t
l l
i i
n n
e e
_ _
i i
n n
_ _
a a
_ _
v b
e e
r r
y y
_ _
g t
e e
n h
e e
r d
a a
l l
_ _
w w
a a
y y
_ _
t t
h h
e d
_ _
m j
e e
a a
s s
u u
r r
e e
s s
_ _
t t
h h
a a
t y
_ _
t t
h g
o i
s s
e e
_ _
w w
h y
o p
_ _
h n
a z
t t
e e
_ _
t t
h h
e w
_ _
i i
n b
d d
u h
s s
t t
r r
i i
a a
l o
_ _
s s
y y
s w
t t
e e
m m
_ _
s x
h h
o o
u u
l l
d d
_ _
t g
a z
k k
e e
_ _
i i
n n
_ _
o o
r f
d d
e r
r r
_ _
t t
o o
_ _
p p
r d
e e
p p
a a
r r
e e
_ _
t t
h h
e e
_ _
w w
a a
y y
_ _
f f
o o
r r
_ _
a a
_ _
r r
e e
v v
o k
l k
u u
t t
i i
o o
n n
_ _
a a
g g
a a
i i
n n
s s
t t
_ _
t t
h h
a a
t t
_ _
f f
o k
r r
m m
_ _
o l
f f
_ _
s s
o k
c c
i j
e e
t t
y y
_ _
t t
h h
i i
s s
_ _
i i
s s
_ _
n n
o k
t t
_ _
t g
o o
_ _
b b
e e
_ _
a a
_ _
p p
o o
l l
i i
t t
i i
c c
a a
l l
_ _
r r
e e
v v
o o
l l
u u
t t
i i
o o
n n
_ _
i i
t t
s w
_ _
o o
b b
j j
e d
c c
t t
_ _
w w
i i
l o
l p
_ _
b b
e d
_ _
t t
o o
_ _
o o
v c
e w
r r
t t
h h
r r
o o
w w
_ _
n j
o o
t g
_ _
g g
o o
v v
e e
r r
n h
m k
e e
n n
t t
s s
_ _
b b
u u
t t
_ _
t t
h h
e e
_ _
e e
c c
o o
n n
o o
m m
i i
c c
_ _
a a
n n
d d
_ _
t t
e e
c c
h h
n n
o o
l o
o o
g g
i i
c c
a a
l l
_ _
b b
a a
s s
i i
s s
_ _
o o
f d
_ _
t g
h h
e w
_ _
p p
r r
e e
s a
e e
n n
t t
_ _
s s
o l
c c
i i
e e
t t
y t
_ _
i i
n n
_ _
t y
h h
i i
s s
_ _
a a
r r
t t
i i
c c
l l
e e
_ _
w w
e e
_ _
g g
i i
v v
e e
_ _
a z
t t
t t
e e
n n
t t
i i
o o
n n
_ _
t y
o o
_ _
o o
n n
l l
y y
_ _
s a
o o
m m
e e
_ _
o i
f f
_ _
t t
h j
e e
_ _
n n
e e
g g
a q
t t
i i
v v
e e
_ _
d d
e e
v v
e e
l l
o o
p p
m m
e e
n n
t f
s x
_ _
t t
h h
a a
t t
_ _
h h
a a
v v
e e
_ _
g g
r r
o k
w q
n n
_ _
o o
u u
t t
_ _
o o
f d
_ _
t t
h h
e d
_ _
i i
n n
d d
u u
s s
t t
r r
i i
a a
l l
_ _
t t
e e
c c
h h
n n
o o
l k
o o
g g
i i
c c
a a
l l
_ _
s a
y h
s w
t t
e e
m m
_ _
o p
t t
h h
e e
r r
_ _
s s
u u
c c
h h
_ _
d c
e r
v v
e e
l l
o o
p l
m n
e d
n n
t t
s s
_ _
w q
e e
_ _
m k
e e
n n
t t
i i
o i
n n
_ _
o k
n n
l l
y y
_ _
b b
r r
i i
e e
f f
l l
y u
_ _
o o
r d
_ _
i i
g g
n n
o o
r r
e e
_ _
a a
l k
t t
o p
g g
e e
t t
h h
e e
r r
_ _
t t
h h
i i
s s
_ _
d d
o o
e e
s z
_ _
n n
o o
t t
_ _
m m
e e
a a
n n
_ _
t g
h h
a a
t t
_ _
w e
e e
_ _
r r
e e
g g
a a
r e
d d
_ _
t t
h h
e e
s w
e r
_ _
o o
t t
h h
e e
r r
_ _
d d
e e
v v
e e
l l
o l
p p
m m
e e
n n
t y
s s
_ _
a a
s s
_ _
u u
n n
i i
m m
p p
o o
r r
t t
a a
n h
t t
_ _
f t
o o
r r
_ _
p p
r r
a a
c c
t t
i i
c c
a a
l l
_ _
r r
e e
a q
s s
o o
n n
s s
_ _
w w
e e
_ _
h h
a a
v v
e e
_ _
t t
o o
_ _
c c
o o
n n
f d
i i
n n
e e
_ _
o o
u u
r r
_ _
d d
i i
s s
c c
u u
s z
s s
i i
o o
n n
_ _
t r
o o
_ _
a a
r r
e d
a a
s s
_ _
t t
h h
a a
t t
_ _
h h
a a
v v
e e
_ _
r r
e e
c c
e e
i k
v v
e e
d d
_ _
i j
n n
s s
u u
f f
f f
i i
c c
i i
e e
n n
t t
_ _
p p
u u
b h
l l
i u
c c
_ _
a a
t t
t g
e e
n j
t t
i i
o l
n n
_ _
o l
r r
_ _
i i
n h
_ _
w w
h h
i i
c c
h h
_ _
w a
e e
_ _
h h
a a
v f
e r
_ _
s z
o o
m m
e e
t t
h h
i i
n n
g t
_ _
n n
e e
w e
_ _
t r
o o
_ _
s s
a a
y y
_ _
f f
o o
r r
_ _
e e
x x
a a
m m
p p
l l
e e
_ _
s s
i i
n n
c c
e w
_ _
t t
h h
e r
r t
e w
_ _
a a
r r
e e
_ _
w w
e e
l k
l l
_ _
d d
e e
v v
e e
l l
o o
p p
e e
d d
_ _
e e
n n
v f
i i
r r
o o
n n
m m
e e
n n
t t
a a
l l
_ _
a a
n n
d d
_ _
w w
i u
l l
d d
e e
r r
n n
e e
s d
s s
_ _
m m
o o
v b
e e
m m
e e
n n
t t
s s
_ _
w w
e w
_ _
h h
a a
v v
e e
_ _
w w
r r
i i
t t
t t
e w
n n
_ _
v f
e e
r r
y y
_ _
l p
i j
t g
t t
l l
e e
_ _
a a
b b
o k
u u
t t
_ _
e e
n n
v v
i i
r r
o o
n b
m m
e e
n n
t t
a a
l l
_ _
d d
e e
g g
r d
a a
d d
a a
t t
i u
o k
n n
_ _
o o
r r
_ _
t t
h y
e e
_ _
d e
e e
s s
t t
r r
u h
c c
t t
i u
o o
n n
_ _
o p
f f
_ _
w w
i i
l l
d d
_ _
n n
a a
t t
u u
r r
e e
_ _
e e
v v
e e
n n
_ _
t t
h h
o o
u u
g g
h h
_ _
w w
e e
_ _
c c
o o
n n
s d
i u
d x
e e
r r
_ _
t t
h b
e e
s s
e e
_ _
t t
o o
_ _
b h
e e
_ _
h h
i i
g g
h n
l l
y y
_ _
i i
m m
p p
o p
r r
t t
a a
n n
t t
_ _
t t
h h
e w
_ _
p p
s a
y y
c d
h h
o l
l l
o o
g g
y h
_ _
o o
f f
_ _
m k
o o
d d
e e
r t
n m
_ _
l l
e e
f f
t t
i i
s s
m m
_ _
a a
l k
m m
o l
s s
t t
_ _
e e
v c
e e
r r
y y
o o
n n
e e
_ _
w w
i i
l l
l o
_ _
a q
g g
r r
e r
e e
_ _
t t
h y
a a
t t
_ _
w w
e e
_ _
l l
i i
v v
e e
_ _
i i
n n
_ _
a q
_ _
d d
e e
e e
p p
l l
y y
_ _
t t
r r
o o
u u
b n
l l
e e
d d
_ _
s w
o o
c c
i i
e e
t g
y y
_ _
o o
n n
e e
_ _
o o
f f
_ _
t t
h h
e e
_ _
m m
o o
s s
t t
_ _
w w
i k
d e
e e
s x
p p
r f
e e
a a
d d
_ _
m m
a a
n m
i i
f f
e e
s s
t t
a z
t t
i i
o o
n n
s s
_ _
o o
f d
_ _
t t
h h
e e
_ _
c c
r r
a s
z z
i i
n n
e d
s x
s s
_ _
o i
f f
_ _
o o
u u
r r
_ _
w a
o i
r r
l l
d d
_ _
i i
s x
_ _
l l
e e
f t
t t
i i
s s
m m
_ _
s s
o o
_ _
a a
_ _
d d
i i
s s
c c
u u
s s
s s
i u
o o
n n
_ _
o k
f f
_ _
t t
h h
e e
_ _
p p
s s
y y
c c
h y
o o
l l
o l
g f
y y
_ _
o o
f c
_ _
l p
e w
f f
t t
i i
s s
m k
_ _
c c
a a
n n
_ _
s s
e e
r e
v c
e e
_ _
a a
s s
_ _
a a
n j
_ _
i i
n n
t g
r r
o o
d c
u h
c d
t y
i i
o i
n n
_ _
t t
o o
_ _
t t
h h
e e
_ _
d d
i i
s s
c c
u u
s s
s s
i i
o o
n n
_ _
o o
f r
_ _
t t
h h
e e
_ _
p p
r r
o o
b b
l l
e e
m m
s a
_ _
o p
f f
_ _
m j
o o
d d
e e
r t
n n
_ _
s s
o o
c c
i i
e e
t t
y u
_ _
i i
n n
_ _
g g
e e
n n
e d
r r
a a
l l
_ _
b b
u u
t t
_ _
w w
h h
a s
t t
_ _
i i
s z
_ _
l l
e e
f f
t t
i j
s s
m m
_ _
d d
u u
r t
i o
n n
g g
_ _
t t
h h
e e
_ _
f f
i i
r d
s s
t t
_ _
h h
a q
l l
f f
_ _
o o
f f
_ _
t t
h j
e e
_ _
t g
h n
_ _
c c
e e
n m
t t
u u
r d
y y
_ _
l l
e e
f f
t t
i i
s s
m k
_ _
c d
o o
u u
l o
d d
_ _
h h
a a
v f
e e
_ _
b b
e e
e e
n n
_ _
p p
r r
a s
c d
t f
i i
c c
a a
l p
l l
y y
_ _
i j
d d
e e
n n
t f
i i
f d
i k
e e
d d
_ _
w q
i i
t t
h h
_ _
s s
o o
c c
i i
a a
l l
i i
s s
m m
_ _
t t
o o
d x
a a
y u
_ _
t y
h h
e e
_ _
m m
o o
v v
e e
m k
e e
n n
t t
_ _
i k
s s
_ _
f f
r r
a a
g h
m k
e e
n n
t f
e r
d d
_ _
a a
n n
d e
_ _
i i
t t
_ _
i i
s s
_ _
n n
o o
t t
_ _
c c
l l
e e
a z
r d
_ _
w a
h h
o o
_ _
c c
a a
n n
_ _
p p
r r
o o
p p
e e
r r
l l
y h
_ _
b h
e d
_ _
c c
a a
l l
l l
e e
d d
_ _
a z
_ _
l l
e e
f d
t f
i i
s s
t t
_ _
w q
h h
e e
n m
_ _
w e
e e
_ _
s s
p p
e e
a a
k k
_ _
o o
f f
_ _
l l
e e
f f
t t
i k
s s
t t
s s
_ _
i i
n n
_ _
t r
h h
i i
s x
_ _
a a
r r
t t
i i
c c
l l
e e
_ _
w w
e e
_ _
h h
a a
v v
e r
_ _
i o
n n
_ _
m m
i i
n b
d d
_ _
m m
a a
i i
n n
l l
y y
_ _
s a
o o
c x
i i
a a
l l
i i
s s
t t
s s
_ _
c c
o o
l p
l l
e e
c f
t t
i u
v v
i i
s d
t t
s s
_ _
p p
o o
l l
i i
t t
i i
c c
a a
l l
l l
y y
_ _
c c
o o
r r
r e
e e
c c
t g
_ _
t t
y y
p p
e e
s s
_ _
f f
e e
m m
i i
n n
i i
s s
t t
s s
_ _
g b
a a
y y
_ _
a a
n n
d d
_ _
d d
i u
s s
a a
b b
i i
l p
i i
t t
y y
_ _
a a
c c
t t
i i
v v
i j
s s
t t
s s
_ _
a a
n n
i i
m m
a a
l l
_ _
r r
i i
g g
h h
t t
s s
_ _
a a
c c
t t
i j
v v
i i
s s
t t
s s
_ _
a a
n n
d d
_ _
t t
h b
e e
_ _
l l
i o
k k
e e
_ _
b g
u u
t t
_ _
n n
o o
t t
_ _
e e
v v
e e
r t
y y
o o
n n
e e
_ _
w w
h h
o o
_ _
i i
s s
_ _
a a
s x
s s
o o
c c
i i
a a
t y
e r
d e
_ _
w w
i i
t t
h h
_ _
o o
n n
e r
_ _
o o
f f
_ _
t t
h h
e e
s s
e e
_ _
m m
o o
v v
e e
m m
e d
n n
t f
s s
_ _
i i
s s
_ _
a a
_ _
l l
e e
f f
t t
i i
s s
t t
_ _
w w
h h
a a
t y
_ _
w w
e e
_ _
a a
r r
e e
_ _
t t
r r
y y
i i
n n
g g
_ _
t t
o o
_ _
g g
e e
t t
_ _
a z
t r
_ _
i i
n n
_ _
d d
i u
s s
c c
u u
s s
s s
i i
n n
g g
_ _
l p
e e
f f
t g
i j
s s
m m
_ _
i k
s s
_ _
n n
o k
t g
_ _
s s
o o
_ _
m m
u u
c v
h h
_ _
a a
_ _
m m
o l
v v
e e
m m
e e
n n
t r
_ _
o p
r r
_ _
a a
n n
_ _
i j
d f
e e
o o
l p
o o
g h
y y
_ _
a a
s s
_ _
a a
_ _
p p
s s
y y
c c
h h
o o
l k
o o
g g
i j
c c
a z
l l
_ _
t t
y y
p o
e w
_ _
o o
r r
_ _
r t
a a
t t
h h
e e
r r
_ _
a a
_ _
c c
o o
l k
l l
e e
c c
t t
i j
o o
n m
_ _
o o
f f
_ _
r r
e e
l l
a a
t t
e w
d d
_ _
t t
y y
p p
e e
s s
_ _
t t
h h
u u
s d
_ _
w w
h h
a a
t t
_ _
w e
e r
_ _
m j
e e
a a
n m
_ _
b b
y y
_ _
l l
e w
f v
t t
i i
s s
m j
_ _
w w
i i
l l
l l
_ _
e e
m n
e e
r t
g g
e w
_ _
m m
o o
r r
e e
_ _
c c
l o
e e
a a
r r
l l
y y
_ _
i i
n n
_ _
t t
h h
e r
_ _
c c
o o
u y
r r
s s
e e
_ _
o p
f f
_ _
o o
u y
r r
_ _
d d
i k
s s
c c
u u
s s
s s
i j
o o
n j
_ _
o o
f f
_ _
l l
e e
f f
t t
i i
s s
t t
_ _
p p
s s
y g
c c
h h
o o
l l
o o
g g
y y
_ _
a z
l l
s s
o o
_ _
s s
e e
e w
_ _
p p
a z
r d
a a
g g
r r
a a
p p
h h
s s
_ _
e w
v b
e e
n n
_ _
s d
o o
_ _
o l
u u
r r
_ _
c c
o o
n n
c x
e d
p p
t t
i i
o p
n n
_ _
o o
f f
_ _
l p
e r
f f
t t
i i
s a
m m
_ _
w s
i i
l l
l l
_ _
r r
e r
m k
a a
i i
n n
_ _
a a
_ _
g g
o o
o o
d d
_ _
d s
e e
a a
l l
_ _
l l
e e
s s
s s
_ _
c d
l l
e e
a a
r d
_ _
t f
h h
a a
n n
_ _
w w
e e
_ _
w e
o l
u u
l l
d d
_ _
w w
i j
s z
h h
_ _
b b
u u
t t
_ _
t t
h n
e e
r e
e e
_ _
d d
o o
e e
s s
n n
_ _
t t
_ _
s s
e r
e e
m m
_ _
t y
o o
_ _
b b
e e
_ _
a a
n n
y y
_ _
r f
e e
m n
e e
d d
y y
_ _
f f
o o
r e
_ _
t t
h h
i i
s s
_ _
a z
l p
l l
_ _
w w
e e
_ _
a a
r r
e e
_ _
t t
r f
y y
i i
n n
g g
_ _
t t
o o
_ _
d d
o o
_ _
i i
s s
_ _
i i
n n
d d
i j
c c
a s
t t
e e
_ _
i j
n j
_ _
a a
_ _
r r
o o
u i
g g
h n
_ _
a a
n n
d d
_ _
a a
p p
p l
r f
o l
x x
i i
m k
a a
t t
e e
_ _
w w
a a
y y
_ _
t t
h b
e e
_ _
t t
w w
o l
_ _
p p
s s
y y
c c
h h
o k
l o
o o
g g
i j
c c
a a
l l
_ _
t t
e e
n n
d d
e d
n n
c c
i i
e e
s s
_ _
t t
h h
a a
t t
_ _
w w
e w
_ _
b b
e w
l l
i o
e e
v f
e e
_ _
a a
r t
e e
_ _
t t
h h
e e
_ _
m m
a a
i i
n n
_ _
d d
r r
i i
v v
i i
n n
g g
_ _
f f
o p
r r
c c
e e
_ _
o o
f f
_ _
m m
o o
d x
e e
r r
n n
_ _
l l
e e
f f
t g
i i
s s
m m
_ _
w w
e e
_ _
b b
y y
_ _
n n
o o
_ _
m m
e e
a a
n n
s s
_ _
c c
l l
a a
i i
m m
_ _
t t
o o
_ _
b b
e e
_ _
t y
e e
l l
l l
i i
n n
g g
_ _
t t
h h
e e
_ _
w w
h y
o o
l l
e e
_ _
t t
r r
u u
t t
h h
_ _
a s
b b
o l
u u
t t
_ _
l l
e e
f f
t t
i o
s s
t t
_ _
p p
s s
y y
c c
h h
o o
l l
o o
g g
y y
_ _
a a
l l
s d
o o
_ _
o o
u u
r r
_ _
d d
i i
s s
c c
u u
s s
s s
i i
o o
n n
_ _
i i
s s
_ _
m m
e e
a a
n n
t t
_ _
t g
o o
_ _
a z
p p
p p
l l
y y
_ _
t g
o o
_ _
m m
o o
d d
e e
r r
n n
_ _
l l
e e
f f
t t
i i
s w
m m
_ _
o o
n n
l l
y y
_ _
w w
e e
_ _
l l
e e
a a
v v
e e
_ _
o o
p p
e e
n b
_ _
t t
h g
e e
_ _
q a
u u
e e
s s
t t
i u
o o
n n
_ _
o o
f f
_ _
t t
h h
e e
_ _
e e
x x
t t
e r
n n
t t
_ _
t t
o o
_ _
w s
h h
i i
c c
h h
_ _
o o
u u
r r
_ _
d d
i u
s d
c c
u u
s s
s s
i i
o o
n n
_ _
c d
o o
u u
l l
d c
_ _
b b
e e
_ _
a a
p p
p p
l k
i i
e e
d d
